DO NOT USE THIS FILE FOR OUTREACH. These are UNVERIFIED candidate strings.
Every address below came from a search-engine result summary describing a page.
NOT ONE was read off a page by a human or an agent - all page fetches were blocked
by the egress proxy. A search summarizer can pattern-complete a plausible address
just as easily as it can report a real one. This file exists ONLY as a worklist:
when egress opens, fetch each source URL and confirm or delete each row.
Rows marked PATTERN-RISK match the info@<domain> / contact@<domain> shape that is
trivially guessable and therefore carries the highest chance of being fabricated.
name,city,candidate_email,claimed_source_url,risk,note
"Islamic Center of Charlotte",Charlotte,info@iccharlotte.org,https://www.muslimguide.com/show/Islamic_Center_of_Charlotte__ICC__607,PATTERN-RISK,"Asserted by a search summary, not seen on the site."
"Islamic Society of Greater Charlotte",Charlotte,Info@isgcharlotte.org,https://isgcharlotte.org/about/,PATTERN-RISK,
"Masjid Ash-Shaheed",Charlotte,aahilal@outlook.com,https://prayersconnect.com/mosques/84017438-masjid-ash-shaheed-charlotte-north-carolina-united-states/contact-us,DISTINCTIVE,"Personal/admin Outlook address on a directory record, not an institutional address. Distinctive shape = less likely fabricated."
"Pillars Mosque",Charlotte,info@pillarsmosque.org,https://pillarsmosque.org/home/,PATTERN-RISK,"A truncated string 'ed@pillarsmosque' also appeared; full address never seen."
"Muhammad Mosque No. 36",Charlotte,info@noicharlotte.com,https://noicharlotte.com/,PATTERN-RISK,
"ILM Center",Concord,admin@ilmcenter.org,https://ilmcenter.org/,PATTERN-RISK,"Reported as the Zelle payment-confirmation address."
"Iqra Islamic Society of Greater Concord",Concord (STATE UNCONFIRMED),contact@iisgc.org,https://iisgc.org/about-us--contact-us.html,PATTERN-RISK,"Organization may be in Concord NEW HAMPSHIRE. Confirm state before anything else."
"Islamic Center of Lake Norman",Mooresville,iclnmooresville@gmail.com,https://prayersconnect.com/mosques/84063945-islamic-center-of-lake-norman-mooresville-north-carolina-united-states/contact-us,DISTINCTIVE,
"Islamic Center of Salisbury",Salisbury,masjidofsalisbury@gmail.com,https://prayersconnect.com/mosques/80992-islamic-center-of-salisbury-salisbury-north-carolina/contact-us,DISTINCTIVE,
"Islamic Association of Raleigh",Raleigh,office@islam1.org,https://archive.raleighmasjid.org/contact/contact-us.html,DISTINCTIVE,"Note the islam1.org domain differs from raleighmasjid.org - not derivable from the site domain, so less likely fabricated."
